request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_56,526.66,affordable_with_plan,partial_payment,2025-02-03:526.66|2025-02-15:354.90,2025-02-15,none,"Pay USD 526.66 today and the remaining USD 354.90 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,9773.26,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,13536621.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2025. None of the available options keeps the IDR 14,433,900 minimum protected."
request_59,132385.01,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,stop:event_5473,"Stop the fitness club membership, then pay INR 140,600 today. This leaves at least INR 132,600 available."
request_60,119.05,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,38469.49,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 September 2026. None of the available options keeps the INR 153,500 minimum protected."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,4870.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,303.51,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1337.13,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,38810.8,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,177469.35,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,14793.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 June 2026. None of the available options keeps the ZAR 39,000 minimum protected."
request_76,735.24,not_affordable,not_recommended,none,2024-08-15,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,56750.1,not_affordable,not_recommended,none,2025-11-15,none,"Do not make this payment by 14 November 2025. None of the available options keeps the INR 82,200 minimum protected."
request_78,45987.12,not_affordable,not_recommended,none,2025-10-15,none,"Do not make this payment by 14 October 2025. None of the available options keeps the INR 55,200 minimum protected."
request_79,299.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 November 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_80,110465.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,312.25,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,3279.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,22451.21,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,342403.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,17352.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,8558.96,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,reduce_to:event_8301:655.60,"Reduce the lunch with colleagues to ZAR 655.60, then pay ZAR 26,092 today. This leaves at least ZAR 25,800 available."
request_89,9319934.83,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8336|reduce_to:event_8403:203300|reduce_to:event_8337:266760,"Stop the online backup subscription, reduce the family dinner to IDR 203,300, and reduce the monthly shopping spend to IDR 266,760, then pay IDR 13,756,000 today. This leaves at least IDR 12,534,700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,284.19,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,33799.66,affordable_with_plan,full_payment,2025-02-05:34034,2025-02-15,reduce_to:event_8662:910.80,"Reduce the quick-service meal to ZAR 910.80, then pay ZAR 34,034 today. This leaves at least ZAR 28,100 available."
request_93,1668.29,affordable_with_plan,full_payment,2026-04-07:1729.20,2026-04-15,stop:event_8690|stop:event_8691,"Stop the online backup subscription and stop the video streaming plan, then pay USD 1,729.20 today. This leaves at least USD 1,900 available."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,4197.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,72305.52,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-03-15,reduce_to:event_8980:1610,"Reduce the quick-service meal to INR 1,610, then pay INR 90,200 today. This leaves at least INR 56,500 available."
request_97,0,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,,reduce_to:event_9038:577.50,"Reduce the neighbourhood restaurant to ZAR 577.50, then pay ZAR 23,496 today. This leaves at least ZAR 29,700 available."
request_98,6500.22,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17965.73,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9188:525.80,"Reduce the family streaming plan to ZAR 525.80, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25122.03,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,reduce_to:event_9267:508.20,"Reduce the streaming subscription to ZAR 508.20, then pay ZAR 37,114 today. This leaves at least ZAR 32,500 available."
request_101,141976.74,affordable_with_plan,full_payment,2025-11-03:143500,2025-11-15,stop:event_9378,"Stop the online backup subscription, then pay INR 143,500 today. This leaves at least INR 187,400 available."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,1045.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,51607.81,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"Reduce the household shopping to INR 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,359.15,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2423.43,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,reduce_to:event_9959:42.50,"Reduce the quick-service meal to EUR 42.50, then pay EUR 2,534.40 today. This leaves at least EUR 1,600 available."
request_108,1941.53,not_affordable,not_recommended,none,2026-09-15,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,480.05,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10080|stop:event_10081,"Stop the shared storage plan and stop the video streaming plan, then pay EUR 1,863.40 today. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,19117.18,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 15 October 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,56562.79,not_affordable,not_recommended,none,2026-01-15,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,11320.61,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,9674.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,852.72,not_affordable,not_recommended,none,2026-07-15,none,"Do not make this payment by 14 July 2026. None of the available options keeps the EUR 1,000 minimum protected."
request_118,627.54,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,reduce_to:event_10914:14,"Reduce the monthly shopping spend to EUR 14, then pay EUR 738.10 today. This leaves at least EUR 600 available."
request_119,53780.02,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-07-15,reduce_to:event_11057:2370|reduce_to:event_11016:2655,"Reduce the family dinner to INR 2,370 and reduce the weekend entertainment to INR 2,655, then pay INR 203,500 today. This leaves at least INR 151,200 available."
request_120,7081841.67,not_affordable,not_recommended,none,2026-04-15,none,"Do not make this payment by 14 April 2026. None of the available options keeps the IDR 20,050,300 minimum protected."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18,091,200 minimum protected."
request_124,1255.29,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-15,stop:event_11448|reduce_to:event_11480:38,"Stop the music service subscription and reduce the family dinner to EUR 38, then pay EUR 3,104.20 today. This leaves at least EUR 1,600 available."
request_125,5701.74,not_affordable,not_recommended,none,2025-11-15,none,"Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,7142.15,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,24415.35,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-15,reduce_to:event_11856:1100,"Reduce the family dinner to ZAR 1,100, then pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,50.99,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,364.72,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1141.59,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,reduce_to:event_12065:21.20,"Reduce the clothing and household items to USD 21.20, then pay USD 1,855.20 today. This leaves at least USD 1,100 available."
request_132,260.65,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4388168.22,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,286.73,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12413:11.50|reduce_to:event_12458:17.50,"Reduce the video streaming plan to USD 11.50 and reduce the lunch with colleagues to USD 17.50, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,528.3,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,25125.49,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,732.03,affordable_with_plan,partial_payment,2026-04-07:732.03|2026-04-15:524.91,2026-04-15,none,"Pay EUR 732.03 today and the remaining EUR 524.91 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1240.24,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 17 November 2024. None of the available options keeps the USD 1,500 minimum protected."
request_140,1425.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,18981.19,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2026. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2510.18,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,27549.56,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13409:3335,"Reduce the takeaway order to INR 3,335, then pay INR 217,400 today. This leaves at least INR 155,400 available."
request_146,8926.94,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,397.06,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7124.05,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,stop:event_13593,"Stop the community fitness plan, then pay ZAR 22,242 today. This leaves at least ZAR 20,000 available."
request_149,22287.85,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,256.24,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13785|reduce_to:event_13786:12.50|reduce_to:event_13787:16,"Stop the online backup subscription, reduce the family streaming plan to EUR 12.50, and reduce the online retail purchases to EUR 16, then pay EUR 496.10 today. This leaves at least EUR 700 available."
request_151,26826907,affordable_with_plan,full_payment,2024-09-03:26999000,2024-09-15,reduce_to:event_13923:633650,"Reduce the coffee shop to IDR 633,650, then pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available."
request_152,11061.31,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13958|reduce_to:event_14024:234.30,"Stop the food delivery membership and reduce the coffee shop to ZAR 234.30, then pay ZAR 13,882 today. This leaves at least ZAR 11,900 available."
request_153,13.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,7940.97,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4663418.2,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,473.69,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,6663558.63,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1279417.71,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,8645208.48,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"Reduce the neighbourhood restaurant to IDR 664,050, then pay IDR 19,304,000 today. This leaves at least IDR 26,728,700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,stop:event_15064,"Stop the online backup subscription, then pay IDR 27,018,000 today. This leaves at least IDR 29,550,500 available."
request_165,65790.16,affordable_with_plan,full_payment,2026-04-06:80600,2026-04-06,reduce_to:event_15135:1665|reduce_to:event_15173:1875|reduce_to:event_15136:1048,"Reduce the video streaming plan to INR 1,665, reduce the quick-service meal to INR 1,875, and reduce the online retail purchases to INR 1,048, then pay INR 80,600 today. This leaves at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,29949.02,affordable_with_plan,partial_payment,2026-01-07:29949.02|2026-02-15:19430.98,2026-02-15,none,"Pay INR 29,949.02 today and the remaining INR 19,430.98 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,30272768.14,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,36.81,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,9246.87,affordable_with_plan,partial_payment,2024-06-05:9246.87|2024-06-15:953.13,2024-06-15,none,"Pay ZAR 9,246.87 today and the remaining ZAR 953.13 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,55386.46,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1090.86,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,stop:event_15974|reduce_to:event_15976:16.80,"Stop the online backup subscription and reduce the household shopping to EUR 16.80, then pay EUR 1,146.20 today. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,362.36,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
